user_id,signup_date,country,signup_channel
USR_000167,2025-09-04,UK,Organic App Store Search
USR_000168,2025-07-22,JP,Organic App Store Search
USR_000169,2025-07-03,UK,Web Referral
USR_000170,2025-05-03,CA,Apple Search Ads
USR_000171,2025-09-12,FR,Organic App Store Search
USR_000172,2025-04-08,US,Organic App Store Search
USR_000173,2025-07-17,FR,Organic App Store Search
USR_000174,2025-08-28,FR,Apple Search Ads
USR_000175,2025-05-24,FR,Organic App Store Search
USR_000176,2025-04-07,US,Social Media Campaign
USR_000177,2025-07-20,US,Organic App Store Search
USR_000178,2025-05-04,FR,Organic App Store Search
USR_000179,2025-07-06,US,Social Media Campaign
USR_000180,2025-09-16,CA,Organic App Store Search
USR_000181,2025-05-28,US,Social Media Campaign
USR_000182,2025-09-09,US,Apple Search Ads
USR_000183,2025-05-27,US,Organic App Store Search
USR_000184,2025-05-28,UK,Apple Search Ads
USR_000185,2025-07-18,US,Organic App Store Search
USR_000186,2025-05-08,UK,Organic App Store Search
USR_000187,2025-02-08,UK,Organic App Store Search
USR_000188,2025-05-09,CA,Apple Search Ads
USR_000189,2025-09-24,CA,Organic App Store Search
USR_000190,2025-05-31,US,Organic App Store Search
USR_000191,2025-04-09,US,Organic App Store Search
USR_000192,2025-09-20,US,Organic App Store Search
USR_000193,2025-09-09,UK,Organic App Store Search
USR_000194,2025-05-24,UK,Organic App Store Search
USR_000195,2025-04-22,UK,Organic App Store Search
USR_000196,2025-03-01,US,Organic App Store Search
USR_000197,2025-01-02,AU,Organic App Store Search
USR_000198,2025-09-11,US,Social Media Campaign
USR_000199,2025-05-20,FR,Apple Search Ads
USR_000200,2025-02-06,US,Organic App Store Search
USR_000201,2025-06-09,JP,Web Referral
USR_000202,2025-01-09,UK,Organic App Store Search
USR_000203,2025-08-21,US,Organic App Store Search
USR_000204,2025-04-09,US,Social Media Campaign
USR_000205,2025-05-27,US,Apple Search Ads
USR_000206,2025-07-27,US,Web Referral
USR_000207,2025-05-11,US,Web Referral
USR_000208,2025-06-01,CA,Organic App Store Search
USR_000209,2025-02-23,US,Web Referral
USR_000210,2025-04-30,DE,Web Referral
USR_000211,2025-06-10,US,Organic App Store Search
USR_000212,2025-04-26,FR,Web Referral
USR_000213,2025-03-16,UK,Organic App Store Search
USR_000214,2025-04-23,US,Apple Search Ads
USR_000215,2025-04-14,US,Organic App Store Search
USR_000216,2025-09-11,US,Organic App Store Search
USR_000217,2025-08-15,US,Apple Search Ads
USR_000218,2025-04-22,UK,Organic App Store Search
USR_000219,2025-04-09,CA,Apple Search Ads
USR_000220,2025-06-02,FR,Apple Search Ads
USR_000221,2025-07-13,UK,Organic App Store Search
USR_000222,2025-06-12,JP,Organic App Store Search
USR_000223,2025-07-27,FR,Apple Search Ads
USR_000224,2025-06-18,FR,Social Media Campaign
USR_000225,2025-06-10,UK,Apple Search Ads
USR_000226,2025-03-09,US,Apple Search Ads
USR_000227,2025-05-15,US,Apple Search Ads
USR_000228,2025-07-14,CA,Organic App Store Search
USR_000229,2025-05-08,US,Organic App Store Search
USR_000230,2025-02-02,US,Web Referral
USR_000231,2025-06-25,UK,Apple Search Ads
USR_000232,2025-01-22,US,Organic App Store Search
USR_000233,2025-08-26,AU,Organic App Store Search
USR_000234,2025-06-07,US,Organic App Store Search
USR_000235,2025-02-07,CA,Apple Search Ads
USR_000236,2025-08-18,DE,Organic App Store Search
USR_000237,2025-02-20,US,Apple Search Ads
USR_000238,2025-09-21,UK,Organic App Store Search
USR_000239,2025-01-27,DE,Organic App Store Search
USR_000240,2025-08-14,US,Social Media Campaign
USR_000241,2025-04-07,US,Organic App Store Search
USR_000242,2025-05-27,US,Web Referral
USR_000243,2025-01-04,UK,Organic App Store Search
USR_000244,2025-02-04,UK,Organic App Store Search
USR_000245,2025-07-11,US,Organic App Store Search
USR_000246,2025-02-18,UK,Social Media Campaign
USR_000247,2025-01-17,US,Apple Search Ads
USR_000248,2025-06-21,DE,Organic App Store Search
USR_000249,2025-08-08,US,Organic App Store Search
USR_000250,2025-06-07,DE,Apple Search Ads
USR_000251,2025-02-15,US,Organic App Store Search
USR_000252,2025-01-06,AU,Organic App Store Search
USR_000253,2025-04-09,UK,Organic App Store Search
USR_000254,2025-08-21,CA,Apple Search Ads
USR_000255,2025-02-06,US,Organic App Store Search
USR_000256,2025-06-30,DE,Organic App Store Search
USR_000257,2025-04-05,US,Organic App Store Search
USR_000258,2025-04-09,UK,Organic App Store Search
USR_000259,2025-07-07,UK,Apple Search Ads
USR_000260,2025-04-26,DE,Social Media Campaign
USR_000261,2025-07-10,CA,Organic App Store Search
USR_000262,2025-09-10,US,Organic App Store Search
USR_000263,2025-06-10,CA,Organic App Store Search
USR_000264,2025-09-13,CA,Social Media Campaign
USR_000265,2025-05-08,FR,Organic App Store Search
USR_000266,2025-01-18,DE,Web Referral
USR_000267,2025-08-11,CA,Organic App Store Search
USR_000268,2025-02-23,US,Organic App Store Search
USR_000269,2025-02-27,DE,Organic App Store Search
USR_000270,2025-06-23,UK,Apple Search Ads
USR_000271,2025-04-24,JP,Apple Search Ads
USR_000272,2025-05-31,US,Organic App Store Search
USR_000273,2025-05-07,US,Organic App Store Search
USR_000274,2025-06-04,US,Organic App Store Search
USR_000275,2025-04-14,CA,Organic App Store Search
USR_000276,2025-09-03,FR,Organic App Store Search
USR_000277,2025-06-25,US,Organic App Store Search
USR_000278,2025-02-08,AU,Apple Search Ads
USR_000279,2025-06-19,CA,Organic App Store Search
USR_000280,2025-09-04,AU,Organic App Store Search
USR_000281,2025-01-26,US,Organic App Store Search
USR_000282,2025-01-13,DE,Organic App Store Search
USR_000283,2025-02-05,US,Organic App Store Search
USR_000284,2025-06-22,DE,Organic App Store Search
USR_000285,2025-01-20,US,Organic App Store Search
USR_000286,2025-09-21,UK,Web Referral
USR_000287,2025-05-22,DE,Organic App Store Search
USR_000288,2025-05-23,US,Organic App Store Search
USR_000289,2025-04-02,US,Social Media Campaign
USR_000290,2025-08-03,CA,Organic App Store Search
USR_000291,2025-02-20,UK,Social Media Campaign
USR_000292,2025-06-02,UK,Organic App Store Search
USR_000293,2025-07-05,US,Apple Search Ads
USR_000294,2025-03-04,US,Apple Search Ads
USR_000295,2025-07-09,US,Web Referral
USR_000296,2025-05-05,US,Apple Search Ads
USR_000297,2025-05-30,FR,Organic App Store Search
USR_000298,2025-02-27,US,Apple Search Ads
USR_000299,2025-06-29,US,Organic App Store Search
USR_000300,2025-06-19,US,Apple Search Ads
USR_000301,2025-02-23,US,Organic App Store Search
USR_000302,2025-04-11,CA,Apple Search Ads
USR_000303,2025-09-21,CA,Apple Search Ads
USR_000304,2025-02-22,US,Social Media Campaign
USR_000305,2025-03-01,US,Organic App Store Search
USR_000306,2025-04-18,US,Social Media Campaign
USR_000307,2025-01-05,DE,Organic App Store Search
USR_000308,2025-04-13,UK,Organic App Store Search
USR_000309,2025-07-15,US,Apple Search Ads
USR_000310,2025-09-19,UK,Apple Search Ads
USR_000311,2025-02-16,AU,Apple Search Ads
USR_000312,2025-05-24,FR,Apple Search Ads
USR_000313,2025-09-26,FR,Organic App Store Search
USR_000314,2025-05-04,US,Apple Search Ads
USR_000315,2025-04-16,US,Organic App Store Search
USR_000316,2025-06-07,US,Organic App Store Search
USR_000317,2025-05-27,DE,Organic App Store Search
USR_000318,2025-05-25,JP,Apple Search Ads
USR_000319,2025-04-30,UK,Apple Search Ads
USR_000320,2025-04-02,US,Organic App Store Search
USR_000321,2025-02-27,US,Apple Search Ads
USR_000322,2025-08-17,US,Organic App Store Search
USR_000323,2025-04-27,US,Social Media Campaign
USR_000324,2025-05-07,UK,Apple Search Ads
USR_000325,2025-05-09,US,Organic App Store Search
USR_000326,2025-02-27,US,Web Referral
USR_000327,2025-05-02,CA,Organic App Store Search
USR_000328,2025-01-01,US,Apple Search Ads
USR_000329,2025-08-27,US,Organic App Store Search
USR_000330,2025-04-06,US,Organic App Store Search
USR_000331,2025-05-06,FR,Apple Search Ads
USR_000332,2025-04-28,DE,Organic App Store Search
USR_000333,2025-02-17,US,Social Media Campaign
USR_000334,2025-03-30,UK,Organic App Store Search
USR_000335,2025-08-25,US,Organic App Store Search
USR_000336,2025-07-08,CA,Apple Search Ads
USR_000337,2025-07-11,AU,Organic App Store Search
USR_000338,2025-03-10,FR,Organic App Store Search
USR_000339,2025-09-04,UK,Social Media Campaign
USR_000340,2025-03-17,JP,Apple Search Ads
USR_000341,2025-06-03,JP,Organic App Store Search
USR_000342,2025-05-24,FR,Apple Search Ads
USR_000343,2025-03-27,UK,Web Referral
USR_000344,2025-07-04,US,Organic App Store Search
USR_000345,2025-08-08,US,Apple Search Ads
USR_000346,2025-03-10,US,Organic App Store Search
USR_000347,2025-02-16,US,Social Media Campaign
USR_000348,2025-04-04,AU,Apple Search Ads
USR_000349,2025-08-26,CA,Social Media Campaign
USR_000350,2025-07-23,FR,Web Referral
USR_000351,2025-08-06,US,Organic App Store Search
USR_000352,2025-02-08,US,Organic App Store Search
USR_000353,2025-04-10,DE,Organic App Store Search
USR_000354,2025-09-11,US,Organic App Store Search
USR_000355,2025-08-10,US,Apple Search Ads
USR_000356,2025-01-23,JP,Social Media Campaign
USR_000357,2025-09-07,DE,Organic App Store Search
USR_000358,2025-01-10,US,Organic App Store Search
USR_000359,2025-09-03,DE,Social Media Campaign
USR_000360,2025-04-10,CA,Organic App Store Search
USR_000361,2025-06-29,DE,Organic App Store Search
USR_000362,2025-08-11,DE,Apple Search Ads
USR_000363,2025-09-07,US,Organic App Store Search
USR_000364,2025-05-27,CA,Web Referral
USR_000365,2025-04-06,US,Organic App Store Search
USR_000366,2025-09-14,US,Social Media Campaign
USR_000367,2025-01-04,FR,Apple Search Ads
USR_000368,2025-01-16,UK,Organic App Store Search
USR_000369,2025-09-04,AU,Organic App Store Search
USR_000370,2025-09-15,DE,Organic App Store Search
USR_000371,2025-06-09,FR,Organic App Store Search
USR_000372,2025-06-01,FR,Organic App Store Search
USR_000373,2025-06-27,UK,Apple Search Ads
USR_000374,2025-06-12,US,Apple Search Ads
USR_000375,2025-02-02,US,Apple Search Ads
USR_000376,2025-06-28,US,Organic App Store Search
USR_000377,2025-04-11,US,Apple Search Ads
USR_000378,2025-09-25,UK,Organic App Store Search
USR_000379,2025-03-06,CA,Web Referral
USR_000380,2025-06-17,JP,Web Referral
USR_000381,2025-02-12,AU,Social Media Campaign
USR_000382,2025-02-13,CA,Apple Search Ads
USR_000383,2025-01-12,US,Organic App Store Search
USR_000384,2025-04-05,US,Organic App Store Search
USR_000385,2025-09-10,US,Social Media Campaign
USR_000386,2025-08-30,DE,Organic App Store Search
USR_000387,2025-02-04,US,Organic App Store Search
USR_000388,2025-08-03,AU,Social Media Campaign
USR_000389,2025-03-31,UK,Apple Search Ads
USR_000390,2025-09-21,US,Organic App Store Search
USR_000391,2025-04-03,US,Organic App Store Search
USR_000392,2025-03-31,UK,Organic App Store Search
USR_000393,2025-04-25,US,Apple Search Ads
USR_000394,2025-04-15,DE,Organic App Store Search
USR_000395,2025-07-15,AU,Web Referral
USR_000396,2025-04-24,UK,Apple Search Ads
USR_000397,2025-03-16,DE,Organic App Store Search
USR_000398,2025-08-05,UK,Organic App Store Search
USR_000399,2025-09-06,JP,Apple Search Ads
USR_000400,2025-06-13,US,Web Referral
USR_000401,2025-07-11,AU,Organic App Store Search
USR_000402,2025-08-15,US,Social Media Campaign
USR_000403,2025-06-26,US,Organic App Store Search
USR_000404,2025-04-09,US,Organic App Store Search
USR_000405,2025-02-05,UK,Web Referral
USR_000406,2025-04-06,US,Organic App Store Search
USR_000407,2025-06-01,US,Apple Search Ads
USR_000408,2025-05-31,JP,Organic App Store Search
USR_000409,2025-07-09,DE,Social Media Campaign
USR_000410,2025-08-12,AU,Social Media Campaign
USR_000411,2025-02-06,DE,Social Media Campaign
USR_000412,2025-09-25,JP,Organic App Store Search
USR_000413,2025-07-02,UK,Organic App Store Search
USR_000414,2025-01-13,US,Apple Search Ads
USR_000415,2025-08-05,FR,Organic App Store Search
USR_000416,2025-03-03,AU,Apple Search Ads
USR_000417,2025-03-25,US,Apple Search Ads
USR_000418,2025-08-05,UK,Organic App Store Search
USR_000419,2025-07-06,US,Apple Search Ads
USR_000420,2025-01-19,FR,Social Media Campaign
USR_000421,2025-06-26,US,Web Referral
USR_000422,2025-04-10,JP,Organic App Store Search
USR_000423,2025-08-21,FR,Organic App Store Search
USR_000424,2025-03-17,CA,Organic App Store Search
USR_000425,2025-09-22,UK,Organic App Store Search
USR_000426,2025-07-25,US,Organic App Store Search
USR_000427,2025-08-11,US,Web Referral
USR_000428,2025-02-21,US,Organic App Store Search
USR_000429,2025-05-24,DE,Organic App Store Search
USR_000430,2025-03-10,UK,Organic App Store Search
USR_000431,2025-04-09,US,Organic App Store Search
USR_000432,2025-01-25,US,Organic App Store Search
USR_000433,2025-02-22,FR,Apple Search Ads
USR_000434,2025-05-31,US,Organic App Store Search
USR_000435,2025-05-24,FR,Organic App Store Search
USR_000436,2025-02-26,US,Organic App Store Search
USR_000437,2025-02-08,UK,Apple Search Ads
USR_000438,2025-04-19,US,Organic App Store Search
USR_000439,2025-06-30,UK,Organic App Store Search
USR_000440,2025-02-11,CA,Web Referral
USR_000441,2025-07-05,US,Organic App Store Search
USR_000442,2025-08-11,UK,Apple Search Ads
USR_000443,2025-05-02,CA,Social Media Campaign
USR_000444,2025-05-13,CA,Organic App Store Search
USR_000445,2025-06-12,DE,Social Media Campaign
USR_000446,2025-08-03,US,Web Referral
USR_000447,2025-08-09,UK,Organic App Store Search
USR_000448,2025-08-23,JP,Social Media Campaign
USR_000449,2025-05-26,FR,Organic App Store Search
USR_000450,2025-08-27,JP,Organic App Store Search
USR_000451,2025-03-17,US,Social Media Campaign
USR_000452,2025-01-09,DE,Web Referral
USR_000453,2025-03-15,CA,Apple Search Ads
USR_000454,2025-09-10,US,Organic App Store Search
USR_000455,2025-08-18,DE,Apple Search Ads
USR_000456,2025-01-07,CA,Apple Search Ads
USR_000457,2025-06-23,US,Organic App Store Search
USR_000458,2025-05-21,US,Web Referral
USR_000459,2025-06-17,DE,Organic App Store Search
USR_000460,2025-06-19,US,Organic App Store Search
USR_000461,2025-05-02,US,Organic App Store Search
USR_000462,2025-07-13,US,Organic App Store Search
USR_000463,2025-01-05,US,Apple Search Ads
USR_000464,2025-01-29,FR,Organic App Store Search
USR_000465,2025-06-14,UK,Social Media Campaign
USR_000466,2025-05-16,UK,Organic App Store Search
USR_000467,2025-05-25,FR,Organic App Store Search
USR_000468,2025-08-05,UK,Apple Search Ads
USR_000469,2025-05-12,US,Organic App Store Search
USR_000470,2025-03-11,DE,Apple Search Ads
USR_000471,2025-09-09,US,Social Media Campaign
USR_000472,2025-07-01,US,Apple Search Ads
USR_000473,2025-06-16,AU,Apple Search Ads
USR_000474,2025-04-01,DE,Social Media Campaign
USR_000475,2025-07-21,DE,Web Referral
USR_000476,2025-01-19,JP,Organic App Store Search
USR_000477,2025-02-08,DE,Apple Search Ads
USR_000478,2025-05-06,DE,Organic App Store Search
USR_000479,2025-06-22,FR,Organic App Store Search
USR_000480,2025-05-21,US,Organic App Store Search
USR_000481,2025-08-30,US,Web Referral
USR_000482,2025-08-08,AU,Apple Search Ads
USR_000483,2025-05-06,UK,Organic App Store Search
USR_000484,2025-02-27,US,Organic App Store Search
USR_000485,2025-05-28,US,Web Referral
USR_000486,2025-01-01,US,Organic App Store Search
USR_000487,2025-07-09,UK,Organic App Store Search
USR_000488,2025-07-10,DE,Social Media Campaign
USR_000489,2025-04-27,FR,Apple Search Ads
USR_000490,2025-05-14,DE,Organic App Store Search
USR_000491,2025-02-27,DE,Organic App Store Search
USR_000492,2025-02-13,UK,Web Referral
USR_000493,2025-06-22,US,Web Referral
USR_000494,2025-06-09,US,Organic App Store Search
USR_000495,2025-06-22,CA,Organic App Store Search
USR_000496,2025-05-29,US,Organic App Store Search
USR_000497,2025-03-21,UK,Apple Search Ads
USR_000498,2025-08-01,CA,Apple Search Ads
USR_000499,2025-07-22,US,Organic App Store Search
USR_000500,2025-09-09,JP,Social Media Campaign
USR_000501,2025-08-17,CA,Apple Search Ads
USR_000502,2025-06-13,US,Apple Search Ads
USR_000503,2025-08-15,UK,Web Referral
USR_000504,2025-05-27,CA,Organic App Store Search
USR_000505,2025-01-20,US,Organic App Store Search
USR_000506,2025-02-16,US,Apple Search Ads
USR_000507,2025-08-21,UK,Social Media Campaign
USR_000508,2025-01-14,FR,Organic App Store Search
USR_000509,2025-05-23,UK,Social Media Campaign
USR_000510,2025-01-01,FR,Organic App Store Search
USR_000511,2025-02-23,DE,Organic App Store Search
USR_000512,2025-09-16,US,Organic App Store Search
USR_000513,2025-05-24,AU,Web Referral
USR_000514,2025-01-12,US,Apple Search Ads
USR_000515,2025-08-12,US,Organic App Store Search
USR_000516,2025-06-05,CA,Web Referral
USR_000517,2025-01-08,AU,Apple Search Ads
USR_000518,2025-05-02,US,Social Media Campaign
USR_000519,2025-06-13,FR,Organic App Store Search
USR_000520,2025-03-31,DE,Organic App Store Search
USR_000521,2025-05-16,FR,Apple Search Ads
USR_000522,2025-07-05,US,Social Media Campaign
USR_000523,2025-06-27,FR,Apple Search Ads
USR_000524,2025-01-28,US,Apple Search Ads
USR_000525,2025-08-08,US,Social Media Campaign
USR_000526,2025-02-10,DE,Organic App Store Search
USR_000527,2025-08-16,AU,Apple Search Ads
USR_000528,2025-07-11,UK,Organic App Store Search
USR_000529,2025-05-25,UK,Organic App Store Search
USR_000530,2025-07-20,US,Organic App Store Search
USR_000531,2025-07-31,CA,Social Media Campaign
USR_000532,2025-08-08,US,Social Media Campaign
USR_000533,2025-08-28,UK,Organic App Store Search
USR_000534,2025-02-15,US,Organic App Store Search
USR_000535,2025-02-04,JP,Organic App Store Search
USR_000536,2025-09-10,CA,Web Referral
USR_000537,2025-03-23,AU,Apple Search Ads
USR_000538,2025-09-13,FR,Web Referral
USR_000539,2025-07-16,UK,Social Media Campaign
USR_000540,2025-01-10,US,Organic App Store Search
USR_000541,2025-08-30,US,Organic App Store Search
USR_000542,2025-09-08,AU,Organic App Store Search
USR_000543,2025-01-05,US,Organic App Store Search
USR_000544,2025-04-29,UK,Organic App Store Search
USR_000545,2025-03-06,US,Organic App Store Search
USR_000546,2025-05-26,US,Apple Search Ads
USR_000547,2025-08-12,UK,Apple Search Ads
USR_000548,2025-08-27,JP,Organic App Store Search
USR_000549,2025-06-26,CA,Apple Search Ads
USR_000550,2025-09-24,FR,Organic App Store Search
USR_000551,2025-03-04,JP,Social Media Campaign
USR_000552,2025-08-05,US,Apple Search Ads
USR_000553,2025-06-26,US,Organic App Store Search
USR_000554,2025-04-08,DE,Apple Search Ads
USR_000555,2025-04-15,FR,Apple Search Ads
USR_000556,2025-04-09,UK,Organic App Store Search
USR_000557,2025-01-06,JP,Organic App Store Search
USR_000558,2025-07-16,US,Web Referral
USR_000559,2025-05-13,US,Organic App Store Search
USR_000560,2025-09-16,CA,Apple Search Ads
USR_000561,2025-01-23,UK,Social Media Campaign
USR_000562,2025-02-22,US,Organic App Store Search
USR_000563,2025-06-14,US,Organic App Store Search
USR_000564,2025-07-21,US,Social Media Campaign
USR_000565,2025-03-24,CA,Organic App Store Search
USR_000566,2025-05-25,FR,Apple Search Ads
USR_000567,2025-03-26,FR,Apple Search Ads
USR_000568,2025-03-19,CA,Social Media Campaign
USR_000569,2025-01-01,UK,Web Referral
USR_000570,2025-02-20,UK,Social Media Campaign
USR_000571,2025-06-22,US,Apple Search Ads
USR_000572,2025-07-24,US,Social Media Campaign
USR_000573,2025-09-17,US,Web Referral
USR_000574,2025-02-03,DE,Web Referral
USR_000575,2025-04-05,FR,Social Media Campaign
